olay_id,medya_tipi,kaynak,baslik,icerik,referans,similarity,modification_score,provocative_score,misleading_label
1,yandas,Sabah,Provokatif eylemler kontrol altına alındı,İstanbul’da gerçekleştirilen izinsiz gösterilere güvenlik güçleri müdahale etti. Yetkililer eylemlerin kamu düzenini bozma riski taşıdığını belirtti. Yapılan açıklamada olayların kısa sürede kontrol altına alındığı ve şehirde hayatın normale döndüğü ifade edildi. Güvenlik güçlerinin koordineli çalışmasıyla herhangi bir büyük olumsuzluk yaşanmadığı aktarıldı.,İstanbul’da gerçekleşen tutuklama kararının ardından çeşitli protesto gösterileri düzenlendi. Farklı gruplar tarafından organize edilen eylemler şehir genelinde farklı noktalarda gerçekleşti. Güvenlik güçleri bazı bölgelerde müdahalede bulunurken olaylar gün boyunca devam etti. Yetkililer gelişmeleri yakından takip ettiklerini açıkladı.,0.09258273892740049,0.9074172610725995,0.047619047619047616,1
1,karsit,Sozcu,Halk demokrasi için sokakta,İstanbul’da binlerce vatandaş sokaklara çıkarak son gelişmelere tepki gösterdi. Göstericiler demokratik haklarını kullandıklarını ve seslerini duyurmaya çalıştıklarını ifade etti. Polis müdahalesi sonrası çok sayıda kişi gözaltına alınırken bazı bölgelerde gerginlik yaşandı. Katılımcılar taleplerinin dikkate alınmasını istedi.,İstanbul’da gerçekleşen tutuklama kararının ardından çeşitli protesto gösterileri düzenlendi. Farklı gruplar tarafından organize edilen eylemler şehir genelinde farklı noktalarda gerçekleşti. Güvenlik güçleri bazı bölgelerde müdahalede bulunurken olaylar gün boyunca devam etti. Yetkililer gelişmeleri yakından takip ettiklerini açıkladı.,0.07031169495532148,0.9296883050446785,0.05405405405405406,1
1,notr,Hurriyet,Tutuklama sonrası protestolar başladı,İstanbul’da gerçekleşen tutuklama kararının ardından çeşitli protesto gösterileri düzenlendi. Farklı gruplar tarafından organize edilen eylemler şehir genelinde farklı noktalarda gerçekleşti. Güvenlik güçleri bazı bölgelerde müdahalede bulunurken olaylar gün boyunca devam etti. Yetkililer gelişmeleri yakından takip ettiklerini açıkladı.,İstanbul’da gerçekleşen tutuklama kararının ardından çeşitli protesto gösterileri düzenlendi. Farklı gruplar tarafından organize edilen eylemler şehir genelinde farklı noktalarda gerçekleşti. Güvenlik güçleri bazı bölgelerde müdahalede bulunurken olaylar gün boyunca devam etti. Yetkililer gelişmeleri yakından takip ettiklerini açıkladı.,1.0,0.0,0.09210526315789473,1
2,yandas,Sabah,Ekonomide güçlü toparlanma sinyalleri,Ekonomi yönetimi son dönemde alınan önlemlerin olumlu sonuç verdiğini açıkladı. Üretim ve ihracat verilerinde artış gözlemlendiği belirtilirken piyasalarda güven ortamının yeniden oluştuğu ifade edildi. Uzmanlar uygulanan politikaların uzun vadede ekonomiyi güçlendireceğini belirtiyor. Reform sürecinin kararlılıkla sürdürüleceği vurgulandı.,Ekonomi yönetimi son döneme ilişkin verileri kamuoyuyla paylaştı. Açıklanan rakamlara göre bazı göstergelerde artış bazı alanlarda ise dalgalanmalar dikkat çekti. Uzmanlar verilerin farklı açılardan değerlendirilmesi gerektiğini belirtiyor. Önümüzdeki süreçte ekonomik politikaların etkisinin daha net görüleceği ifade edildi.,0.13583840851387713,0.8641615914861229,0.07894736842105263,1
2,karsit,Sozcu,Ekonomik kriz derinleşiyor,Artan fiyatlar ve yaşam maliyetleri vatandaşın geçimini zorlaştırıyor. Pazarda ve marketteki fiyat artışları dar gelirli kesimleri daha fazla etkiliyor. Ekonomistler mevcut politikaların enflasyonu kontrol etmekte yetersiz kaldığını ifade ediyor. Vatandaşlar alım gücünün her geçen gün düştüğünü dile getiriyor.,Ekonomi yönetimi son döneme ilişkin verileri kamuoyuyla paylaştı. Açıklanan rakamlara göre bazı göstergelerde artış bazı alanlarda ise dalgalanmalar dikkat çekti. Uzmanlar verilerin farklı açılardan değerlendirilmesi gerektiğini belirtiyor. Önümüzdeki süreçte ekonomik politikaların etkisinin daha net görüleceği ifade edildi.,0.03995039262458658,0.9600496073754134,0.02564102564102564,0
2,notr,Hurriyet,Ekonomide son gelişmeler açıklandı,Ekonomi yönetimi son döneme ilişkin verileri kamuoyuyla paylaştı. Açıklanan rakamlara göre bazı göstergelerde artış bazı alanlarda ise dalgalanmalar dikkat çekti. Uzmanlar verilerin farklı açılardan değerlendirilmesi gerektiğini belirtiyor. Önümüzdeki süreçte ekonomik politikaların etkisinin daha net görüleceği ifade edildi.,Ekonomi yönetimi son döneme ilişkin verileri kamuoyuyla paylaştı. Açıklanan rakamlara göre bazı göstergelerde artış bazı alanlarda ise dalgalanmalar dikkat çekti. Uzmanlar verilerin farklı açılardan değerlendirilmesi gerektiğini belirtiyor. Önümüzdeki süreçte ekonomik politikaların etkisinin daha net görüleceği ifade edildi.,1.0,0.0,0.013157894736842105,0
3,yandas,Sabah,Başarılı operasyonla terör darbe aldı,Güvenlik güçleri tarafından gerçekleştirilen operasyon kapsamında çok sayıda hedef etkisiz hale getirildi. Yetkililer operasyonun titizlikle planlandığını ve başarıyla tamamlandığını açıkladı. Bölgede güvenliğin sağlanması için çalışmaların sürdüğü belirtildi. Operasyonun terör faaliyetlerine ciddi darbe vurduğu ifade edildi.,Güvenlik güçleri tarafından bölgede bir operasyon gerçekleştirildi. Yetkililer operasyonun hedeflerine ulaştığını belirtti. Bölgedeki gelişmeler yakından izlenirken farklı kaynaklardan çeşitli açıklamalar yapıldı. Resmi bilgilendirmelerin devam edeceği ifade edildi.,0.1912149626730042,0.8087850373269958,0.05555555555555555,1
3,karsit,Sozcu,Operasyonda sivil zarar iddiaları,Gerçekleştirilen operasyon sonrası bölgede sivil kayıplar yaşandığı iddia edildi. Yerel kaynaklar bazı sivillerin zarar gördüğünü öne sürdü. Uzmanlar operasyonların daha dikkatli yürütülmesi gerektiğini ifade ediyor. Konuya ilişkin bağımsız inceleme yapılması çağrısı yapıldı.,Güvenlik güçleri tarafından bölgede bir operasyon gerçekleştirildi. Yetkililer operasyonun hedeflerine ulaştığını belirtti. Bölgedeki gelişmeler yakından izlenirken farklı kaynaklardan çeşitli açıklamalar yapıldı. Resmi bilgilendirmelerin devam edeceği ifade edildi.,0.09404367715663796,0.905956322843362,0.045454545454545456,1
3,notr,Hurriyet,Operasyon gerçekleştirildi,Güvenlik güçleri tarafından bölgede bir operasyon gerçekleştirildi. Yetkililer operasyonun hedeflerine ulaştığını belirtti. Bölgedeki gelişmeler yakından izlenirken farklı kaynaklardan çeşitli açıklamalar yapıldı. Resmi bilgilendirmelerin devam edeceği ifade edildi.,Güvenlik güçleri tarafından bölgede bir operasyon gerçekleştirildi. Yetkililer operasyonun hedeflerine ulaştığını belirtti. Bölgedeki gelişmeler yakından izlenirken farklı kaynaklardan çeşitli açıklamalar yapıldı. Resmi bilgilendirmelerin devam edeceği ifade edildi.,0.9999999999999991,8.881784197001252e-16,0.07142857142857142,1
4,yandas,Sabah,Yeni proje ile istihdam artacak,Hükümet tarafından açıklanan yeni proje ile binlerce kişiye iş imkanı sağlanacağı belirtildi. Yetkililer projenin ekonomiye canlılık kazandıracağını ifade etti. Projenin özellikle genç istihdamını artırması bekleniyor. Uygulamanın kısa sürede hayata geçirileceği açıklandı.,Yetkililer yeni ekonomik projeyi kamuoyuna sundu. Projenin istihdam ve yatırım açısından önemli katkılar sağlaması bekleniyor. Detaylar ilgili kurumlar tarafından açıklanmaya devam ediyor. Projenin uygulama süreci yakından takip edilecek.,0.1472223279877028,0.8527776720122973,0.078125,1
4,karsit,Sozcu,Projeye eleştiriler büyüyor,Açıklanan yeni proje bazı kesimler tarafından eleştiriliyor. Uzmanlar projenin yeterince şeffaf olmadığını ve detaylarının netleşmediğini ifade ediyor. Projenin uygulanabilirliği konusunda soru işaretleri bulunuyor. Kamuoyunda tartışmalar sürüyor.,Yetkililer yeni ekonomik projeyi kamuoyuna sundu. Projenin istihdam ve yatırım açısından önemli katkılar sağlaması bekleniyor. Detaylar ilgili kurumlar tarafından açıklanmaya devam ediyor. Projenin uygulama süreci yakından takip edilecek.,0.16180401121020993,0.8381959887897901,0.12962962962962962,3
4,notr,Hurriyet,Yeni proje tanıtıldı,Yetkililer yeni ekonomik projeyi kamuoyuna sundu. Projenin istihdam ve yatırım açısından önemli katkılar sağlaması bekleniyor. Detaylar ilgili kurumlar tarafından açıklanmaya devam ediyor. Projenin uygulama süreci yakından takip edilecek.,Yetkililer yeni ekonomik projeyi kamuoyuna sundu. Projenin istihdam ve yatırım açısından önemli katkılar sağlaması bekleniyor. Detaylar ilgili kurumlar tarafından açıklanmaya devam ediyor. Projenin uygulama süreci yakından takip edilecek.,0.9999999999999999,1.1102230246251565e-16,0.06896551724137931,1
5,yandas,Sabah,Enerji yatırımları hız kesmiyor,Türkiye enerji alanında yatırımlarını artırmaya devam ediyor. Yeni projelerle üretim kapasitesinin yükseltilmesi hedefleniyor. Yetkililer bu yatırımların enerji bağımsızlığına katkı sağlayacağını belirtti. Uzmanlar sektörün büyümeye devam edeceğini ifade ediyor.,Enerji sektöründe yeni yatırımlar ve düzenlemeler gündeme geldi. Yetkililer enerji üretim kapasitesinin artırılmasının hedeflendiğini açıkladı. Sektördeki gelişmeler yakından takip ediliyor. Uzmanlar farklı senaryolar üzerinde duruyor.,0.176459554537386,0.8235404454626141,0.06896551724137931,1
5,karsit,Sozcu,Enerji fiyatları vatandaşı zorluyor,Enerji maliyetlerindeki artış vatandaşın bütçesini zorlamaya devam ediyor. Elektrik ve doğalgaz fiyatları özellikle dar gelirli kesimleri etkiliyor. Uzmanlar maliyet artışlarının önümüzdeki dönemde sürebileceğini belirtiyor. Vatandaşlar çözüm bekliyor.,Enerji sektöründe yeni yatırımlar ve düzenlemeler gündeme geldi. Yetkililer enerji üretim kapasitesinin artırılmasının hedeflendiğini açıkladı. Sektördeki gelişmeler yakından takip ediliyor. Uzmanlar farklı senaryolar üzerinde duruyor.,0.08176096113904383,0.9182390388609561,0.017857142857142856,0
5,notr,Hurriyet,Enerji alanında yeni adımlar,Enerji sektöründe yeni yatırımlar ve düzenlemeler gündeme geldi. Yetkililer enerji üretim kapasitesinin artırılmasının hedeflendiğini açıkladı. Sektördeki gelişmeler yakından takip ediliyor. Uzmanlar farklı senaryolar üzerinde duruyor.,Enerji sektöründe yeni yatırımlar ve düzenlemeler gündeme geldi. Yetkililer enerji üretim kapasitesinin artırılmasının hedeflendiğini açıkladı. Sektördeki gelişmeler yakından takip ediliyor. Uzmanlar farklı senaryolar üzerinde duruyor.,0.9999999999999991,8.881784197001252e-16,0.15384615384615385,1
6,yandas,Sabah,Eğitim reformu başarıyla uygulanıyor,"Yeni eğitim sistemi kapsamında yapılan düzenlemelerin olumlu sonuçlar verdiği açıklandı. Yetkililer, eğitim kalitesinin arttığını ve öğrencilerin başarı düzeyinde yükseliş gözlemlendiğini belirtti. Reform kapsamında öğretim yöntemlerinin modernize edildiği ifade edildi. Sürecin önümüzdeki dönemde daha da geliştirilmesi hedefleniyor.",Eğitim alanında yapılan yeni düzenlemeler yürürlüğe girdi. Yetkililer sistemde çeşitli güncellemelerin yapıldığını açıkladı. Öğrenciler ve öğretmenler yeni uygulamalara uyum sağlamaya çalışıyor. Sürecin etkilerinin önümüzdeki dönemde daha net görüleceği ifade edildi.,0.2284251035458172,0.7715748964541829,0.06756756756756757,1
